title,url,date,date_parsed,event_type,score,reasons
PM Netanyahu Holds Series of Diplomatic Meetings in New York,https://www.gov.il/en/pages/eventmeeting190917,2017-09-19,2017-09-19,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Mexican President Enrique Peña Nieto,https://www.gov.il/en/pages/eventmexicanpre140917,2017-09-14,2017-09-14,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Argentinian President Mauricio Macri,https://www.gov.il/en/pages/eventstatements120917,2017-09-12,2017-09-12,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with ICRC President Maurer,https://www.gov.il/en/pages/evenygaza060917,2017-09-06,2017-09-06,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with UN Secretary-General António Guterres,https://www.gov.il/en/pages/eventum280817,2017-08-28,2017-08-28,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu's statement at the conclusion of his meeting with Russian President Putin,https://www.gov.il/en/pages/eventend230817,2017-08-23,2017-08-23,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
Prime Minister Netanyahu's comments ahead of his meeting with Russian President Putin in Sochi,https://www.gov.il/en/pages/spokebefore220817,2017-08-22,2017-08-22,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with US Sen. Shelley Moore Capito,https://www.gov.il/en/pages/eventmoore180817,2017-08-18,2017-08-18,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Republican Members of the US Congress,https://www.gov.il/en/pages/eventcongress100817,2017-08-10,2017-08-10,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Democratic Members of the US Congress,https://www.gov.il/en/pages/eeventcongress070817,2017-08-07,2017-08-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Hungarian Jewish Community Leaders,https://www.gov.il/en/pages/spokemeethungary200717,2017-07-20,2017-07-20,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Hungarian President Janos Ader,https://www.gov.il/en/pages/eventpalace180717,2017-07-18,2017-07-18,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statements by PM Netanyahu and Hungarian PM Viktor Orbán,https://www.gov.il/en/pages/eventurban180717,2017-07-18,2017-07-18,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Rwandan President Paul Kagame,https://www.gov.il/en/pages/eventkagame100717,2017-07-10,2017-07-10,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu and Indian PM Modi Meet with Moshe Holtzberg,https://www.gov.il/en/pages/eventmoishi050717,2017-07-05,2017-07-05,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
"PM Netanyahu Meets with US President Trump's Homeland Security Adviser, Thomas Bossert",https://www.gov.il/en/pages/eventusa260617,2017-06-26,2017-06-26,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Statement on the Passing of Former German Chancellor Helmut Kohl,https://www.gov.il/en/pages/spokekohl160617,2017-06-16,2017-06-16,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Nauru President Baron Waqa,https://www.gov.il/en/pages/eventwapa120617,2017-06-12,2017-06-12,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with US Ambassador to the UN Nikki Haley,https://www.gov.il/en/pages/eventun070617,2017-06-07,2017-06-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with eBay President and CEO Devin Wenig,https://www.gov.il/en/pages/eventebay050617,2017-06-05,2017-06-05,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statements by PM Netanyahu and US President Donald Trump,https://www.gov.il/en/pages/eventstatements220517,2017-05-22,2017-05-22,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with US President Donald Trump,https://www.gov.il/en/pages/spokepremeeting220517,2017-05-22,2017-05-22,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Hungarian Foreign Affairs and Trade Minister Péter Szijjártó,https://www.gov.il/en/pages/eventhungary200517,2017-05-20,2017-05-20,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Ukraine PM Volodymyr Groysman,https://www.gov.il/en/pages/eventukraine150517,2017-05-15,2017-05-15,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with US Chairman of the Joint Chiefs of Staff Gen. Joseph F. Dunford,https://www.gov.il/en/pages/eventdunford090517,2017-05-09,2017-05-09,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with German President Dr. Frank-Walter Steinmeier,https://www.gov.il/en/pages/eventgerman070517,2017-05-07,2017-05-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with US Secretary of Defense James Mattis,https://www.gov.il/en/pages/eventdefusa210417,2017-04-21,2017-04-21,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Slovak President Andrej Kiska,https://www.gov.il/en/pages/eventkiska300317,2017-03-30,2017-03-30,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Chinese President Xi Jinping,https://www.gov.il/en/pages/eventprechina210317,2017-03-21,2017-03-21,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with UK Foreign Secretary Boris Johnson,https://www.gov.il/en/pages/eventuk080317,2017-03-08,2017-03-08,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu to Meet with Russian President Putin in Moscow,https://www.gov.il/en/pages/spokerus080317,2017-03-08,2017-03-08,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Indian National Security Adviser Ajit Doval,https://www.gov.il/en/pages/eventindiansecurity010317,2017-03-01,2017-03-01,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Zambian President Edgar Lungu,https://www.gov.il/en/pages/eventzambia280217,2017-02-28,2017-02-28,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Singapore Prime Minister Lee Hsien Loong,https://www.gov.il/en/pages/eventsingstat200217,2017-02-20,2017-02-20,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with British PM Theresa May,https://www.gov.il/en/pages/eventtheresamay060217,2017-02-06,2017-02-06,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Croatian Prime Minister Andrej Plenkovic,https://www.gov.il/en/pages/eventcroatia240117,2017-01-24,2017-01-24,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Sierra Leone President Ernest Bai Koroma,https://www.gov.il/en/pages/eventsierra110117,2017-01-11,2017-01-11,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Kazakhstan President Nursultan Nazarbayev,https://www.gov.il/en/pages/eventkazakhstan141216,2016-12-14,2016-12-14,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Azerbaijan President Ilham Aliyev,https://www.gov.il/en/pages/eventazerbaijan131216,2016-12-13,2016-12-13,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Honduran President Orlando Hernandez,https://www.gov.il/en/pages/eventhonduras081216,2016-12-08,2016-12-08,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
"PM Netanyahu, Cypriot President Anastasiades and Greek Prime Minister Tsipras to Hold Second Summit Meeting Tomorrow in Jerusalem",https://www.gov.il/en/pages/spokecg071216,2016-12-07,2016-12-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Guatemalan President Morales,https://www.gov.il/en/pages/eventguatemala291116,2016-11-29,2016-11-29,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statement by PM Netanyahu at the Start of his Meeting with Italian President Sergio Mattarella,https://www.gov.il/en/pages/eventitaly021116,2016-11-02,2016-11-02,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Former US President Bill Clinton,https://www.gov.il/en/pages/eventclinton290916,2016-09-29,2016-09-29,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Holds Farewell Meeting with UN Secretary General Ban Ki-moon,https://www.gov.il/en/pages/eventban220916,2016-09-22,2016-09-22,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Senegalese President Macky Sall,https://www.gov.il/en/pages/eventsenegal210916,2016-09-21,2016-09-21,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statements of US President Barack Obama and PM Netanyahu on the Sidelines of the UN General Assembly,https://www.gov.il/en/pages/eventstatement210916,2016-09-21,2016-09-21,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Dutch Prime Minister Mark Rutte,https://www.gov.il/en/pages/eventpress060916,2016-09-06,2016-09-06,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
"PM Netanyahu Meets with Mikhail Bogdanov, Russian President Vladimir Putin's Special Envoy for the Middle East",https://www.gov.il/en/pages/spokebogandov050916,2016-09-05,2016-09-05,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Togo President Faure Essozimna Gnassingbé,https://www.gov.il/en/pages/speechtogo100816,2016-08-10,2016-08-10,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Paraguayan President Horacio Cartes,https://www.gov.il/en/pages/eventparaguay190716,2016-07-19,2016-07-19,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Former British PM Tony Blair,https://www.gov.il/en/pages/eventblair110716,2016-07-11,2016-07-11,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu’s Statement at the Fourth of July Event at the US Ambassador’s Residence,https://www.gov.il/en/pages/speechusa300616,2016-06-30,2016-06-30,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Italian PM Matteo Renzi,https://www.gov.il/en/pages/eventrenzi270616,2016-06-27,2016-06-27,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statements by PM Netanyahu and US Secretary of State John Kerry before Their Meeting in Rome,https://www.gov.il/en/pages/eventkerry270616,2016-06-27,2016-06-27,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
Statement from PM Benjamin Netanyahu on UK PM David Cameron's Announcement,https://www.gov.il/en/pages/spokecameron240616,2016-06-24,2016-06-24,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with NATO Member State Ambassadors,https://www.gov.il/en/pages/eventnato140616,2016-06-14,2016-06-14,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Russian President Putin at the Kremlin,https://www.gov.il/en/pages/eventrus070616,2016-06-07,2016-06-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Singapore Prime Minister Lee Hsien Loong,https://www.gov.il/en/pages/eventsingapore190416,2016-04-19,2016-04-19,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Bipartisan US Congressional Delegation Led by House of Representatives Speaker Paul Ryan,https://www.gov.il/en/pages/eventcongress040416,2016-04-04,2016-04-04,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Greek President Pavlopoulos,https://www.gov.il/en/pages/eventgreece310316,2016-03-31,2016-03-31,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu and Vice President Joe Biden in a joint statement,https://www.gov.il/en/pages/eventbiden090316,2016-03-09,2016-03-09,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Romanian President Klaus Werner Iohannis,https://www.gov.il/en/pages/eventrumania070316,2016-03-07,2016-03-07,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
