title,url,date,date_parsed,event_type,score,reasons
Cabinet Approves Appointment of Brig.-Gen. (ret.) Moshe Edri as Charmain of the Atomic Energy Commission,https://www.gov.il/en/pages/spoke_at_comm160122,2022-01-16,2022-01-16,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Speaks with Russian President Vladimir Putin,https://www.gov.il/en/pages/spoke_putin130122,2022-01-13,2022-01-13,no_netanyahu,-100,no Netanyahu mention
"PM Bennett: ""This is a very sad morning""",https://www.gov.il/en/pages/spoke_condolences130122,2022-01-13,2022-01-13,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks Following the Uncovering of an Iranian Espionage Network,https://www.gov.il/en/pages/spoke_iran120122,2022-01-12,2022-01-12,no_netanyahu,-100,no Netanyahu mention
Corona Cabinet Communique,https://www.gov.il/en/pages/spoke_corona_cab110122,2022-01-11,2022-01-11,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks from this Evening’s Press Conference,https://www.gov.il/en/pages/evenet_press_conference110122,2022-01-11,2022-01-11,no_netanyahu,-100,no Netanyahu mention
Cabinet Approves Green Pass Regulations,https://www.gov.il/en/pages/spoke_corona100122,2022-01-10,2022-01-10,no_netanyahu,-100,no Netanyahu mention
"Prime Minister Naftali Bennett Eulogizes Aura Herzog, mother of President Isaac Herzog and wife of Israel's Sixth President, Chaim Herzog",https://www.gov.il/en/pages/spoke_condolences100122,2022-01-10,2022-01-10,no_netanyahu,-100,no Netanyahu mention
PM Bennett appeared for the first time before the Knesset Foreign Affairs and Defense Committee,https://www.gov.il/en/pages/spoke_start100122,2022-01-10,2022-01-10,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with Hungarian Prime Minister Viktor Orban,https://www.gov.il/en/pages/spoke_hungary100122,2022-01-10,2022-01-10,no_netanyahu,-100,no Netanyahu mention
Cabinet Approves Several Decisions in the Framework of Dealing with the Coronavirus,https://www.gov.il/en/pages/spoke_dec090122,2022-01-09,2022-01-09,no_netanyahu,-100,no Netanyahu mention
PM Bennett’s Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start090122,2022-01-09,2022-01-09,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with British PM Boris Johnson,https://www.gov.il/en/pages/event_johnson040122,2022-01-04,2022-01-04,no_netanyahu,-100,no Netanyahu mention
