date,url
2025-09-08,https://www.nfl.com/plus/games/vikings-at-bears-2025-reg-1
2025-09-15,https://www.nfl.com/plus/games/buccaneers-at-texans-2025-reg-2
2025-09-22,https://www.nfl.com/plus/games/lions-at-ravens-2025-reg-3
