date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2022-04-28 16:00,1651186800,Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1846,https://basketball.icdb.tv/match/1846,Gus Johnson,Greg Anthony,"Greg Anthony, Alaa Abdelnaby, Jack Armstrong","Jim Lynam, Marc Jackson, Sam Mitchell, Leo Rautins","Amy Fadool, Kate Beirness","Nabil Karim, Kayla Grey","Gus Johnson (Main Commentator), Greg Anthony (Co-commentator), Nabil Karim (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Kate Beirness (Presenter), Matt Devlin (Main Commentator), Jack Armstrong (Co-commentator), Sam Mitchell (Pundit), Leo Rautins (Pundit), Kayla Grey (Reporter)"
2022-04-25 17:00,1650931200,Toronto Raptors @ Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,NBA Regular Season,NBC Sports Philadelphia,1835,https://basketball.icdb.tv/match/1835,Kevin Calabro,Brendan Haywood,"Brendan Haywood, Alaa Abdelnaby, Alvin Williams","Jim Lynam, Marc Jackson",Amy Fadool,"Nabil Karim, Amy Audibert","Kevin Calabro (Main Commentator), Brendan Haywood (Co-commentator), Nabil Karim (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Matt Devlin (Main Commentator), Alvin Williams (Co-commentator), Amy Audibert (Reporter)"
2022-04-23 11:00,1650736800,Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1814,https://basketball.icdb.tv/match/1814,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Stan Van Gundy, Alvin Williams","Jim Lynam, Marc Jackson",Amy Fadool,"Nabil Karim, Amy Audibert","Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Brian Anderson (Main Commentator), Stan Van Gundy (Co-commentator), Nabil Karim (Reporter), Matt Devlin (Main Commentator), Alvin Williams (Co-commentator), Amy Audibert (Reporter)"
2022-04-20 17:00,1650499200,Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1802,https://basketball.icdb.tv/match/1802,Kevin Calabro,Brendan Haywood,"Brendan Haywood, Alaa Abdelnaby, Alvin Williams","Jim Lynam, Marc Jackson",Amy Fadool,"Nabil Karim, Amy Audibert","Kevin Calabro (Main Commentator), Brendan Haywood (Co-commentator), Nabil Karim (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Matt Devlin (Main Commentator), Alvin Williams (Co-commentator), Amy Audibert (Reporter)"
2022-04-18 16:30,1650324600,Toronto Raptors @ Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,NBA Regular Season,NBC Sports Philadelphia,1791,https://basketball.icdb.tv/match/1791,Sean Kelley,Ros Gold-Onwude,"Ros Gold-Onwude, Alaa Abdelnaby, Greg Anthony, Jack Armstrong","Jim Lynam, Marc Jackson, Sam Mitchell, Leo Rautins","Amy Fadool, Kate Beirness","Nabil Karim, Kayla Grey","Sean Kelley (Main Commentator), Ros Gold-Onwude (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Gus Johnson (Main Commentator), Greg Anthony (Co-commentator), Nabil Karim (Reporter), Kate Beirness (Presenter), Matt Devlin (Main Commentator), Jack Armstrong (Co-commentator), Sam Mitchell (Pundit), Leo Rautins (Pundit), Kayla Grey (Reporter)"
2022-04-09 10:00,1649523600,Indiana Pacers @ Philadelphia 76ers,Philadelphia 76ers,Indiana Pacers,NBA Regular Season,NBC Sports Philadelphia,1758,https://basketball.icdb.tv/match/1758,Chris Denari,Quinn Buckner,"Quinn Buckner, Alaa Abdelnaby","Jim Lynam, Marc Jackson","Jeremiah Johnson, Amy Fadool",,"Jeremiah Johnson (Presenter), Chris Denari (Main Commentator), Quinn Buckner (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-04-07 16:30,1649374200,Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1726,https://basketball.icdb.tv/match/1726,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Alvin Williams","Jim Lynam, Marc Jackson",Amy Fadool,,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Matt Devlin (Main Commentator), Alvin Williams (Co-commentator)"
2022-04-05 16:00,1649199600,Philadelphia 76ers @ Indiana Pacers,Indiana Pacers,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1740,https://basketball.icdb.tv/match/1740,Chris Denari,Quinn Buckner,"Quinn Buckner, Alaa Abdelnaby","Eddie Gill, Jim Lynam, Marc Jackson","Jeremiah Johnson, Amy Fadool",Pat Boylan,"Jeremiah Johnson (Presenter), Chris Denari (Main Commentator), Quinn Buckner (Co-commentator), Eddie Gill (Pundit), Pat Boylan (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-04-03 15:00,1649023200,Philadelphia 76ers @ Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,1700,https://basketball.icdb.tv/match/1700,John Michael,Austin Carr,"Austin Carr, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-04-02 09:30,1648917000,Charlotte Hornets @ Philadelphia 76ers,Philadelphia 76ers,Charlotte Hornets,NBA Regular Season,NBC Sports Philadelphia,1692,https://basketball.icdb.tv/match/1692,Eric Collins,Dell Curry,"Dell Curry, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Ashley ShahAhmadi,"Eric Collins (Main Commentator), Dell Curry (Co-commentator), Ashley ShahAhmadi (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-03-31 16:00,1648767600,Philadelphia 76ers @ Detroit Pistons,Detroit Pistons,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1674,https://basketball.icdb.tv/match/1674,Johnny Kane,Greg Kelser,"Greg Kelser, Alaa Abdelnaby","Tim McCormick, Jim Lynam, Marc Jackson","Mickey York, Amy Fadool",Justin Rose,"Mickey York (Presenter), Johnny Kane (Main Commentator), Greg Kelser (Co-commentator), Tim McCormick (Pundit), Justin Rose (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
