date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2022-01-07 16:00,1641600000,San Antonio Spurs @ Philadelphia 76ers,Philadelphia 76ers,San Antonio Spurs,NBA Regular Season,NBC Sports Philadelphia,858,https://basketball.icdb.tv/match/858,Bill Land,Sean Elliott,"Sean Elliott, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,,"Bill Land (Main Commentator), Sean Elliott (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-28 16:30,1640737800,Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,730,https://basketball.icdb.tv/match/730,Kate Scott,Marc Jackson,"Marc Jackson, Amy Audibert",,,,"Kate Scott (Main Commentator), Marc Jackson (Co-commentator), Matt Devlin (Main Commentator), Amy Audibert (Co-commentator)"
2021-12-26 15:00,1640559600,Philadelphia 76ers @ Washington Wizards,Washington Wizards,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,702,https://basketball.icdb.tv/match/702,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Drew Gooden","Marc Jackson, Tony Massenburg","Taryn Hatcher, Wes Hall",Chris Miller,"Taryn Hatcher (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Marc Jackson (Pundit), Wes Hall (Presenter), Justin Kutcher (Main Commentator), Drew Gooden (Co-commentator), Tony Massenburg (Pundit), Chris Miller (Reporter)"
2021-12-23 16:00,1640304000,Atlanta Hawks @ Philadelphia 76ers,Philadelphia 76ers,Atlanta Hawks,NBA Regular Season,NBC Sports Philadelphia,715,https://basketball.icdb.tv/match/715,Lauren Jbara,Brian Oliver,"Brian Oliver, Alaa Abdelnaby",,Treavor Scales,,"Treavor Scales (Presenter), Lauren Jbara (Main Commentator), Brian Oliver (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2021-12-20 16:30,1640046600,Philadelphia 76ers @ Boston Celtics,Boston Celtics,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,592,https://basketball.icdb.tv/match/592,Mike Gorman,Brian Scalabrine,"Brian Scalabrine, Alaa Abdelnaby","Candace Parker, Isiah Thomas, Jim Lynam, Marc Jackson","Kristen Ledlow, Amy Fadool",,"Kristen Ledlow (Presenter), Mike Gorman (Main Commentator), Brian Scalabrine (Co-commentator), Candace Parker (Pundit), Isiah Thomas (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-16 16:30,1639701000,Philadelphia 76ers @ Brooklyn Nets,Brooklyn Nets,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,546,https://basketball.icdb.tv/match/546,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Sarah Kustok","Jim Lynam, Marc Jackson",Amy Fadool,Michael Grady,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Ian Eagle (Main Commentator), Sarah Kustok (Co-commentator), Michael Grady (Reporter)"
2021-12-15 16:00,1639612800,Miami Heat @ Philadelphia 76ers,Philadelphia 76ers,Miami Heat,NBA Regular Season,NBC Sports Philadelphia,708,https://basketball.icdb.tv/match/708,Eric Reid,John Crotty,"John Crotty, Alaa Abdelnaby","Ruth Riley Hunter, Jim Lynam, Marc Jackson","Will Manso, Amy Fadool",,"Will Manso (Presenter), Eric Reid (Main Commentator), John Crotty (Co-commentator), Ruth Riley Hunter (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-13 17:00,1639443600,Philadelphia 76ers @ Memphis Grizzlies,Memphis Grizzlies,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,623,https://basketball.icdb.tv/match/623,Pete Pranica,Brevin Knight,"Brevin Knight, Alaa Abdelnaby","Chris Vernon, Jim Lynam, Marc Jackson",Amy Fadool,Rob Fischer,"Pete Pranica (Main Commentator), Brevin Knight (Co-commentator), Chris Vernon (Pundit), Rob Fischer (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-09 16:00,1639094400,Utah Jazz @ Philadelphia 76ers,Philadelphia 76ers,Utah Jazz,NBA Regular Season,NBC Sports Philadelphia,581,https://basketball.icdb.tv/match/581,Craig Bolerjack,Thurl Bailey,"Thurl Bailey, Holly Rowe, Greg Anthony, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Dennis Scott,"Craig Bolerjack (Main Commentator), Thurl Bailey (Co-commentator), Holly Rowe (Co-commentator), Spiro Dedes (Main Commentator), Greg Anthony (Co-commentator), Dennis Scott (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-08 16:00,1639008000,Philadelphia 76ers @ Charlotte Hornets,Charlotte Hornets,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,571,https://basketball.icdb.tv/match/571,Eric Collins,Dell Curry,"Dell Curry, Alaa Abdelnaby","Wes Bryant, Jim Lynam, Marc Jackson",Amy Fadool,Ashley ShahAhmadi,"Eric Collins (Main Commentator), Dell Curry (Co-commentator), Wes Bryant (Pundit), Ashley ShahAhmadi (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-06 16:00,1638835200,Philadelphia 76ers @ Charlotte Hornets,Charlotte Hornets,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,552,https://basketball.icdb.tv/match/552,Eric Collins,Dell Curry,"Dell Curry, Alaa Abdelnaby","Wes Bryant, Jim Lynam, Marc Jackson",Amy Fadool,Ashley ShahAhmadi,"Eric Collins (Main Commentator), Dell Curry (Co-commentator), Wes Bryant (Pundit), Ashley ShahAhmadi (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-12-03 16:30,1638577800,Philadelphia 76ers @ Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,478,https://basketball.icdb.tv/match/478,Bob Rathbun,Dominique Wilkins,"Dominique Wilkins, Jeff Van Gundy, Alaa Abdelnaby","Stephen A. Smith, Michael Wilbon, Jalen Rose, Marc Jackson, Jim Lynam","Mike Greenberg, Amy Fadool",Cassidy Hubbarth,"Bob Rathbun (Main Commentator), Dominique Wilkins (Co-commentator), Mike Greenberg (Presenter), Beth Mowins (Main Commentator), Jeff Van Gundy (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Cassidy Hubbarth (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Marc Jackson (Pundit), Jim Lynam (Pundit)"
2021-12-01 16:30,1638405000,Philadelphia 76ers @ Boston Celtics,Boston Celtics,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,447,https://basketball.icdb.tv/match/447,Mike Gorman,Brian Scalabrine,"Brian Scalabrine, Alaa Abdelnaby","Kendrick Perkins, Chris Forsberg, Jim Lynam, Marc Jackson","Amina Smith, Amy Fadool",Abby Chin,"Mike Gorman (Main Commentator), Brian Scalabrine (Co-commentator), Abby Chin (Reporter), Amina Smith (Presenter), Kendrick Perkins (Pundit), Chris Forsberg (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-29 16:00,1638230400,Orlando Magic @ Philadelphia 76ers,Philadelphia 76ers,Orlando Magic,NBA Regular Season,NBC Sports Philadelphia,450,https://basketball.icdb.tv/match/450,David Steele,Jeff Turner,"Jeff Turner, Alaa Abdelnaby","Quentin Richardson, Jim Lynam, Marc Jackson","Dante Marchitelli, Amy Fadool",,"Dante Marchitelli (Presenter), David Steele (Main Commentator), Jeff Turner (Co-commentator), Quentin Richardson (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-24 19:00,1637809200,Philadelphia 76ers @ Golden State Warriors,Golden State Warriors,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,328,https://basketball.icdb.tv/match/328,Bob Fitzgerald,Kelenna Azubuike,"Kelenna Azubuike, Alaa Abdelnaby","Dorell Wright, Festus Ezeli, Jim Lynam, Marc Jackson","Bonta Hill, Amy Fadool","Kerith Burke, Kendra Andrews, Monte Poole","Bonta Hill (Presenter), Bob Fitzgerald (Main Commentator), Kelenna Azubuike (Co-commentator), Dorell Wright (Pundit), Festus Ezeli (Pundit), Kerith Burke (Reporter), Kendra Andrews (Reporter), Monte Poole (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-22 19:00,1637636400,Philadelphia 76ers @ Sacramento Kings,Sacramento Kings,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,394,https://basketball.icdb.tv/match/394,Mark Jones,Kayte Christensen-Hunter,"Kayte Christensen-Hunter, Alaa Abdelnaby","Isiah Thomas, Candace Parker, Matt Barnes, Jim Lynam, Marc Jackson","Kristen Ledlow, Kyle Draper, Amy Fadool",,"Kristen Ledlow (Presenter), Mark Jones (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Isiah Thomas (Pundit), Candace Parker (Pundit), Kyle Draper (Presenter), Matt Barnes (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-18 18:00,1637287200,Philadelphia 76ers @ Denver Nuggets,Denver Nuggets,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,264,https://basketball.icdb.tv/match/264,Chris Marlowe,Scott Hastings,"Scott Hastings, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Katy Winge,"Chris Marlowe (Main Commentator), Scott Hastings (Co-commentator), Katy Winge (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-11 16:00,1636675200,Toronto Raptors @ Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,NBA Regular Season,"NBA TV (US), NBC Sports Philadelphia, Sky Sports Arena UK HD",283,https://basketball.icdb.tv/match/283,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Jack Armstrong","Greg Anthony, Brendan Haywood, Jim Lynam, Marc Jackson, Kia Nurse, Leo Rautins","Ro Parrish, Amy Fadool, Kate Beirness",Kayla Grey,"Ro Parrish (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Greg Anthony (Pundit), Brendan Haywood (Pundit), Kayla Grey (Reporter), Amy Fadool (Presenter), Jim Lynam (Pundit), Marc Jackson (Pundit), Kate Beirness (Presenter), Matt Devlin (Main Commentator), Jack Armstrong (Co-commentator), Kia Nurse (Pundit), Leo Rautins (Pundit)"
2021-11-08 16:00,1636416000,New York Knicks @ Philadelphia 76ers,Philadelphia 76ers,New York Knicks,NBA Regular Season,NBC Sports Philadelphia,276,https://basketball.icdb.tv/match/276,Mike Breen,Walt Frazier,"Walt Frazier, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Rebecca Haarlow,"Mike Breen (Main Commentator), Walt Frazier (Co-commentator), Rebecca Haarlow (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-11-04 16:00,1636066800,Philadelphia 76ers @ Detroit Pistons,Detroit Pistons,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,160,https://basketball.icdb.tv/match/160,George Blaha,Greg Kelser,"Greg Kelser, Alaa Abdelnaby",,,Johnny Kane,"George Blaha (Main Commentator), Greg Kelser (Co-commentator), Johnny Kane (Reporter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2021-11-03 16:00,1635980400,Chicago Bulls @ Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,NBA Regular Season,NBC Sports Philadelphia,153,https://basketball.icdb.tv/match/153,Adam Amin,Stacey King,"Stacey King, Alaa Abdelnaby",,,,"Adam Amin (Main Commentator), Stacey King (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2021-11-01 16:00,1635807600,Portland Trail Blazers @ Philadelphia 76ers,Philadelphia 76ers,Portland Trail Blazers,NBA Regular Season,NBC Sports Philadelphia,140,https://basketball.icdb.tv/match/140,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Lamar Hurd","Jim Lynam, Marc Jackson",Amy Fadool,Brooke Olzendam,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Kevin Calabro (Main Commentator), Lamar Hurd (Co-commentator), Brooke Olzendam (Reporter)"
2021-10-28 16:00,1635462000,Detroit Pistons @ Philadelphia 76ers,Philadelphia 76ers,Detroit Pistons,NBA Regular Season,"NBC Sports Philadelphia, Sky Sports Arena UK HD",96,https://basketball.icdb.tv/match/96,George Blaha,Greg Kelser,"Greg Kelser, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Johnny Kane,"George Blaha (Main Commentator), Greg Kelser (Co-commentator), Johnny Kane (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-10-20 17:00,1634774400,Philadelphia 76ers @ New Orleans Pelicans,New Orleans Pelicans,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,95,https://basketball.icdb.tv/match/95,Joel Meyers,Antonio Daniels,"Antonio Daniels, Alaa Abdelnaby","David Wesley, Jim Lynam, Marc Jackson","Erin Hartigan, Amy Fadool",Jennifer Hale,"Erin Hartigan (Presenter), Joel Meyers (Main Commentator), Antonio Daniels (Co-commentator), David Wesley (Pundit), Jennifer Hale (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2021-03-29 19:00,1617069600,Chicago Bulls @ Golden State Warriors,Golden State Warriors,Chicago Bulls,NBA Regular Season,"KGMZ-FM ""95.7 The Game""",82,https://basketball.icdb.tv/match/82,Kate Scott,Mary Murphy,Mary Murphy,,Kerith Burke,,"Kerith Burke (Presenter), Kate Scott (Main Commentator), Mary Murphy (Co-commentator)"
