date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2022-12-25 14:00,1672005600.0,Milwaukee Bucks @ Boston Celtics,Boston Celtics,Milwaukee Bucks,NBA Regular Season,"ABC (usa), ESPN (US), Sky Sports MIX UK HD, Sky Sports Football UK HD",3227.0,https://basketball.icdb.tv/match/3227,Mark Jones,Doris Burke,Doris Burke,,,Malika Andrews,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Malika Andrews (Reporter)",Milwaukee Bucks @ Boston Celtics,pending,,
2022-12-16 19:00,1671246000.0,Denver Nuggets @ Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,NBA Regular Season,"ESPN (US), ESPN App (US)",3053.0,https://basketball.icdb.tv/match/3053,Mark Jones,Mark Jackson,Mark Jackson,,,Malika Andrews,"Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Malika Andrews (Reporter)",Denver Nuggets @ Los Angeles Lakers,pending,,
2022-12-14 19:00,1671073200.0,Minnesota Timberwolves @ Los Angeles Clippers,Los Angeles Clippers,Minnesota Timberwolves,NBA Regular Season,"ESPN (US), ESPN App (US)",3051.0,https://basketball.icdb.tv/match/3051,Mark Jones,Mark Jackson,Mark Jackson,,,Jorge Sedano,"Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Jorge Sedano (Reporter)",Minnesota Timberwolves @ Los Angeles Clippers,pending,,
2022-12-07 16:30,1670459400.0,Atlanta Hawks @ New York Knicks,New York Knicks,Atlanta Hawks,NBA Regular Season,ESPN (US),2922.0,https://basketball.icdb.tv/match/2922,Mark Jones,Doris Burke,Doris Burke,,,Cassidy Hubbarth,"Mark Jones (Main Commentator), Doris Burke (Co-commentator), Cassidy Hubbarth (Reporter)",Atlanta Hawks @ New York Knicks,pending,,
2022-11-23 19:00,1669258800.0,Los Angeles Clippers @ Golden State Warriors,Golden State Warriors,Los Angeles Clippers,NBA Regular Season,ESPN (US),2607.0,https://basketball.icdb.tv/match/2607,Mark Jones,Mark Jackson,Mark Jackson,,,Malika Andrews,"Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Malika Andrews (Reporter)",Los Angeles Clippers @ Golden State Warriors,pending,,
2022-11-02 19:00,1667440800.0,Memphis Grizzlies @ Portland Trail Blazers,Portland Trail Blazers,Memphis Grizzlies,NBA Regular Season,"ESPN (US), ESPN App (US)",2334.0,https://basketball.icdb.tv/match/2334,Mark Jones,Mark Jackson,Mark Jackson,,,Jorge Sedano,"Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Jorge Sedano (Reporter)",Memphis Grizzlies @ Portland Trail Blazers,pending,,
2022-10-26 16:30,1666827000.0,Brooklyn Nets @ Milwaukee Bucks,Milwaukee Bucks,Brooklyn Nets,NBA Regular Season,"ESPN (US), ESPN App (US)",2268.0,https://basketball.icdb.tv/match/2268,Mark Jones,Jeff Van Gundy,Jeff Van Gundy,"Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Stephen A. Smith",Monica McNutt,"Mike Greenberg (Presenter), Mark Jones (Main Commentator), Jeff Van Gundy (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Monica McNutt (Reporter), Stephen A. Smith (Presenter)",Brooklyn Nets @ Milwaukee Bucks,pending,,
2022-10-23 17:30,1666571400.0,Sacramento Kings @ Golden State Warriors,Golden State Warriors,Sacramento Kings,NBA Regular Season,NBC Sports California,2250.0,https://basketball.icdb.tv/match/2250,Bob Fitzgerald,Kelenna Azubuike,"Kelenna Azubuike, Kayte Christensen-Hunter","Kenny Thomas, Festus Ezeli",Kyle Draper,Kerith Burke,"Bob Fitzgerald (Main Commentator), Kelenna Azubuike (Co-commentator), Kerith Burke (Reporter), Kyle Draper (Presenter), Mark Jones (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Kenny Thomas (Pundit), Festus Ezeli (Pundit)",Sacramento Kings @ Golden State Warriors,pending,,
2022-10-19 19:00,1666231200.0,Dallas Mavericks @ Phoenix Suns,Phoenix Suns,Dallas Mavericks,NBA Regular Season,"ESPN (US), ESPN App (US)",2211.0,https://basketball.icdb.tv/match/2211,Mark Jones,Mark Jackson,Mark Jackson,,,Jorge Sedano,"Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Jorge Sedano (Reporter)",Dallas Mavericks @ Phoenix Suns,pending,,
2022-10-12 16:30,1665617400.0,Brooklyn Nets @ Milwaukee Bucks,Milwaukee Bucks,Brooklyn Nets,NBA Pre-Season,"ESPN (US), ESPN App (US)",2148.0,https://basketball.icdb.tv/match/2148,Mark Jones,Doris Burke,Doris Burke,"Jalen Rose, Stephen A. Smith, Michael Wilbon, Adrian Wojnarowski",Mike Greenberg,Cassidy Hubbarth,"Mike Greenberg (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Jalen Rose (Pundit), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Adrian Wojnarowski (Pundit), Cassidy Hubbarth (Reporter)",Brooklyn Nets @ Milwaukee Bucks,pending,,
