date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file
2022-03-16 16:00,1647471600,Philadelphia 76ers @ Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,NBA Regular Season,Bally Sports Ohio,1529,https://basketball.icdb.tv/match/1529,John Michael,Austin Carr,"Austin Carr, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)",,,
2022-03-14 16:00,1647298800,Los Angeles Clippers @ Cleveland Cavaliers,Cleveland Cavaliers,Los Angeles Clippers,NBA Regular Season,Bally Sports Ohio,1514,https://basketball.icdb.tv/match/1514,John Michael,Austin Carr,"Austin Carr, Mike Fratello","Corey Maggette, Don MacLean",Jeanne Zelasko,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Jeanne Zelasko (Presenter), Brian Sieman (Main Commentator), Mike Fratello (Co-commentator), Corey Maggette (Pundit), Don MacLean (Pundit)",,,
2022-03-12 17:00,1647133200,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1498,https://basketball.icdb.tv/match/1498,John Michael,Austin Carr,"Austin Carr, Stacey King",,,"Serena Winters, K.C. Johnson","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Adam Amin (Main Commentator), Stacey King (Co-commentator), K.C. Johnson (Reporter)",,,
2022-03-11 17:00,1647046800,Cleveland Cavaliers @ Miami Heat,Miami Heat,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1487,https://basketball.icdb.tv/match/1487,John Michael,Austin Carr,"Austin Carr, Brad Daugherty, John Crotty",,,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Eric Reid (Main Commentator), John Crotty (Co-commentator)",,,
2022-02-26 17:00,1645923600,Washington Wizards @ Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,NBA Regular Season,Bally Sports Ohio,1363,https://basketball.icdb.tv/match/1363,John Michael,Austin Carr,"Austin Carr, Drew Gooden","Tony Massenburg, Chris Miller",Wes Hall,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Wes Hall (Presenter), Justin Kutcher (Main Commentator), Drew Gooden (Co-commentator), Tony Massenburg (Pundit), Chris Miller (Pundit)",,,
2022-02-24 16:00,1645747200,Cleveland Cavaliers @ Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1381,https://basketball.icdb.tv/match/1381,George Blaha,Greg Kelser,"Greg Kelser, Austin Carr",Grant Long,Mickey York,"Johnny Kane, Serena Winters","Mickey York (Presenter), George Blaha (Main Commentator), Greg Kelser (Co-commentator), Grant Long (Pundit), Johnny Kane (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-02-15 16:30,1644971400,Cleveland Cavaliers @ Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1305,https://basketball.icdb.tv/match/1305,John Michael,Austin Carr,"Austin Carr, Dominique Wilkins",Brian Oliver,Treavor Scales,"Serena Winters, Lauren Jbara","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Treavor Scales (Presenter), Bob Rathbun (Main Commentator), Dominique Wilkins (Co-commentator), Brian Oliver (Pundit), Lauren Jbara (Reporter)",,,
2022-02-12 16:30,1644712200,Cleveland Cavaliers @ Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1281,https://basketball.icdb.tv/match/1281,John Michael,Austin Carr,"Austin Carr, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)",,,
2022-02-11 16:00,1644624000,Cleveland Cavaliers @ Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1292,https://basketball.icdb.tv/match/1292,Chris Denari,Quinn Buckner,"Quinn Buckner, Austin Carr",,,"Jeremiah Johnson, Serena Winters","Chris Denari (Main Commentator), Quinn Buckner (Co-commentator), Jeremiah Johnson (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-02-09 16:00,1644451200,San Antonio Spurs @ Cleveland Cavaliers,Cleveland Cavaliers,San Antonio Spurs,NBA Regular Season,Bally Sports Ohio,1275,https://basketball.icdb.tv/match/1275,John Michael,Austin Carr,"Austin Carr, Sean Elliott, Michelle Beadle",,Dan Weiss,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Dan Weiss (Presenter), Bill Land (Main Commentator), Sean Elliott (Co-commentator), Michelle Beadle (Co-commentator)",,,
